id,predicted
0,1
2,1
4,1
7,1
15,1
26,1
44,1
45,1
57,1
66,1
77,1
79,1
86,1
89,1
90,1
105,1
120,1
123,1
125,1
129,1
143,1
151,1
153,1
154,1
157,1
167,1
170,1
171,1
177,1
181,1
187,1
193,1
194,1
199,1
201,1
212,1
219,1
220,1
222,1
224,1
225,1
227,1
232,1
247,1
248,1
262,1
269,1
272,1
278,1
290,1
291,1
296,1
307,1
309,1
310,1
316,1
324,1
326,1
341,1
365,1
371,1
376,1
380,1
388,1
389,1
412,1
413,1
416,1
420,1
427,1
429,1
446,1
448,1
454,1
466,1
472,1
502,1
511,1
520,1
530,1
541,1
544,1
547,1
548,1
557,1
561,1
563,1
572,1
581,1
583,1
587,1
588,1
591,1
640,1
649,1
656,1
675,1
688,1
708,1
729,1
735,1
744,1
748,1
751,1
756,1
762,1
764,1
773,1
779,1
791,1
802,1
805,1
807,1
819,1
828,1
831,1
836,1
845,1
859,1
869,1
874,1
875,1
877,1
885,1
899,1
901,1
902,1
912,1
916,1
932,1
934,1
942,1
946,1
972,1
1006,1
1019,1
1045,1
1046,1
1054,1
1075,1
1076,1
1086,1
1091,1
1093,1
1097,1
1101,1
1127,1
1137,1
1145,1
1157,1
1197,1
1209,1
1212,1
1219,1
1231,1
1260,1
1262,1
1263,1
1275,1
1282,1
1284,1
1286,1
1288,1
1309,1
1327,1
1329,1
1330,1
1340,1
1353,1
1358,1
1367,1
1373,1
1386,1
1388,1
1397,1
1413,1
1432,1
1443,1
1445,1
1458,1
1473,1
1475,1
1480,1
1489,1
1535,1
1539,1
1541,1
1543,1
1546,1
1567,1
1592,1
1599,1
1606,1
1620,1
1622,1
1635,1
1652,1
1659,1
1660,1
1665,1
1686,1
1717,1
1740,1
1751,1
1758,1
1793,1
1807,1
1811,1
1812,1
1820,1
1824,1
1837,1
1842,1
1853,1
1860,1
1866,1
1869,1
1874,1
1876,1
1894,1
1898,1
1902,1
1908,1
1913,1
1921,1
1924,1
1937,1
1946,1
1949,1
1963,1
1964,1
1972,1
1978,1
1979,1
1981,1
1982,1
2013,1
2016,1
2021,1
2024,1
2036,1
2037,1
2049,1
2061,1
2081,1
2082,1
2102,1
2105,1
2114,1
2115,1
2118,1
2152,1
2153,1
2170,1
2177,1
2190,1
2203,1
2213,1
2218,1
2221,1
2226,1
2246,1
2250,1
2257,1
2264,1
2286,1
2294,1
2296,1
2301,1
2305,1
2319,1
2334,1
2353,1
2356,1
2398,1
2430,1
2438,1
2459,1
2463,1
2464,1
2466,1
2473,1
2474,1
2482,1
2483,1
2489,1
2514,1
2523,1
2530,1
2531,1
2535,1
2537,1
2595,1
2597,1
2632,1
2635,1
2644,1
2645,1
2672,1
2678,1
2687,1
2706,1
2710,1
2715,1
2733,1
2800,1
2802,1
2805,1
2808,1
2821,1
2829,1
2841,1
2878,1
2880,1
2896,1
2902,1
2905,1
2908,1
2910,1
2927,1
2929,1
2934,1
2941,1
2958,1
2975,1
2980,1
2982,1
2988,1
3002,1
3032,1
3056,1
3073,1
3078,1
3087,1
3099,1
3105,1
3114,1
3127,1
3132,1
3138,1
3142,1
3148,1
3149,1
3157,1
3162,1
3174,1
3175,1
3180,1
3197,1
3199,1
3204,1
3205,1
3208,1
3221,1
3223,1
3235,1
3238,1
3259,1
3279,1
3297,1
3302,1
3310,1
3312,1
3320,1
3327,1
3332,1
3337,1
3369,1
3374,1
3375,1
3389,1
3392,1
3406,1
3441,1
3442,1
3443,1
3446,1
3449,1
3451,1
3456,1
3472,1
3493,1
3503,1
3513,1
3515,1
3532,1
3553,1
3560,1
3580,1
3587,1
3588,1
3603,1
3605,1
3608,1
3610,1
3615,1
3617,1
3631,1
3633,1
3636,1
3639,1
3648,1
3653,1
3655,1
3659,1
3667,1
3668,1
3671,1
3673,1
3685,1
3691,1
3700,1
3707,1
3717,1
3726,1
3736,1
3778,1
3792,1
3801,1
3844,1
3860,1
3865,1
3867,1
3877,1
3878,1
3887,1
3893,1
3908,1
3916,1
3926,1
3929,1
3932,1
3936,1
3939,1
3941,1
3954,1
3957,1
3977,1
3983,1
4001,1
4006,1
4019,1
4046,1
4051,1
4058,1
4068,1
4147,1
4152,1
4153,1
4156,1
4163,1
4165,1
4167,1
4175,1
4178,1
4190,1
4205,1
4207,1
4214,1
4224,1
4252,1
4255,1
4273,1
4293,1
4299,1
4310,1
4317,1
4324,1
4348,1
4349,1
4351,1
4353,1
4355,1
4365,1
4373,1
4379,1
4391,1
4396,1
4413,1
4416,1
4429,1
4436,1
4437,1
4450,1
4454,1
4463,1
4465,1
4485,1
4488,1
4495,1
4503,1
4510,1
4523,1
4537,1
4541,1
4546,1
4547,1
4557,1
4558,1
4568,1
4571,1
4576,1
4584,1
4588,1
4595,1
4601,1
4617,1
4618,1
4624,1
4641,1
4642,1
4656,1
4661,1
4665,1
4672,1
4673,1
4674,1
4676,1
4688,1
4692,1
4695,1
4718,1
4722,1
4731,1
4760,1
4780,1
4784,1
4791,1
4798,1
4802,1
4810,1
4816,1
4820,1
4830,1
4842,1
4850,1
4871,1
4876,1
4879,1
4883,1
4886,1
4892,1
4893,1
4896,1
4900,1
4901,1
4912,1
4914,1
4929,1
4952,1
4973,1
4986,1
4992,1
4996,1
5002,1
5011,1
5017,1
5042,1
5046,1
5048,1
5052,1
5056,1
5062,1
5063,1
5064,1
5065,1
5067,1
5080,1
5085,1
5087,1
5090,1
5103,1
5125,1
5126,1
5135,1
5142,1
5155,1
5161,1
5184,1
5187,1
5188,1
5194,1
5231,1
5241,1
5276,1
5278,1
5286,1
5293,1
5298,1
5319,1
5329,1
5345,1
5348,1
5350,1
5355,1
5387,1
5389,1
5391,1
5409,1
5410,1
5412,1
5443,1
5445,1
5457,1
5462,1
5470,1
5477,1
5484,1
5486,1
5494,1
5495,1
5501,1
5511,1
5518,1
5523,1
5525,1
5535,1
5538,1
5540,1
5542,1
5549,1
5557,1
5568,1
5572,1
5587,1
5588,1
5593,1
5602,1
5612,1
5618,1
5620,1
5625,1
5627,1
5630,1
5636,1
5645,1
5658,1
5663,1
5669,1
5687,1
5694,1
5712,1
5716,1
5725,1
5726,1
5727,1
5734,1
5750,1
5754,1
5762,1
5765,1
5782,1
5804,1
5828,1
5839,1
5844,1
5851,1
5853,1
5862,1
5865,1
5901,1
5908,1
5921,1
5922,1
5926,1
5931,1
5938,1
5952,1
5954,1
5960,1
5981,1
5983,1
6019,1
6031,1
6035,1
6051,1
6060,1
6062,1
6067,1
6068,1
6070,1
6079,1
6107,1
